Team Number,Mu,Sigma
5524,24.4771,2.85273
6117,27.3135,2.28352
5561,26.7353,2.24547
5860,25.7012,2.70523
4130,23.622,2.87225
1718,27.6577,2.26949
5843,26.5176,2.85756
1701,25.6871,1.88714
4851,23.2874,2.93399
5641,22.4675,2.92417
3539,26.0979,2.29738
4961,24.7355,2.13248
548,25.5001,1.97599
6085,24.6888,3.01658
5467,24.5689,2.58954
5662,22.7151,2.87487
3302,26.2084,2.77544
5065,22.0577,3.23567
6610,24.4161,3.07149
4390,20.7582,2.95909
5532,21.9951,3.24234
1,25.0226,3.09981
5282,25.9659,2.98152
5562,21.6512,2.93524
2673,22.8253,2.95667
5225,24.5801,3.28538
6091,24.5952,3.02514
4854,23.1386,2.98437
2410,24.0037,3.14929
5690,28.4471,3.08261
4506,27.4033,3.2993
6630,27.4459,4.28059
876,29.3166,3.2917
2512,29.604,3.22853
967,27.6116,3.52567
167,25.083,3.48941
3206,24.2232,3.6622
5638,22.8015,4.66505
1094,24.6374,3.5036
4818,23.9576,4.07289
4329,27.9268,3.56648
4646,24.2641,3.3707
3928,27.4293,3.49573
2081,24.0637,3.54649
2040,23.1595,3.67698
5809,24.7839,3.31457
1987,32.8334,3.10312
3528,26.7014,3.0641
525,26.4535,3.77055
4009,27.6632,3.86124
6359,24.8579,4.84672
6420,24.5309,3.61162
2574,29.4934,3.3783
6371,27.8863,5.28251
4011,20.3564,5.03396
648,23.7865,4.0008
3267,23.4733,3.98994
6536,25.1541,4.97
6455,27.723,5.17059
5576,24.1181,3.85099
6412,22.4478,4.94164
5837,26.859,5.07665
5041,21.6522,4.97237
4230,22.9009,4.10895
6379,22.7424,5.04642
3633,23.8443,3.91932
2450,21.2358,3.85145
2177,24.3828,4.02819
6467,23.3597,5.06528
2530,26.2241,3.81315
5906,21.4345,5.06331
5935,25.9859,4.97659
1785,22.3603,3.88164
6320,26.2816,5.05372
5991,21.5851,5.15635
1208,24.8885,3.92304
3018,22.242,3.81716
6164,22.9239,4.99788
6317,22.8703,5.21446
3130,30.2668,2.60744
6613,31.816,4.43577
2883,27.5454,3.42803
2175,24.9346,3.58912
6758,23.4195,5.00213
2987,25.7367,4.94719
4859,26.1031,4.72209
3754,23.6351,4.63689
4226,25.1555,4.91564
877,26.5522,5.05272
2491,28.8744,3.40545
3313,28.0929,4.75658
3723,27.9353,4.93991
2202,24.0005,3.27446
1792,24.7552,3.3109
4174,31.1455,4.4939
3883,26.6701,3.33776
3036,22.1694,5.00696
2989,27.4,5.338
4239,23.9932,4.08106
6707,21.9957,5.03409
4665,23.9126,4.02649
4623,27.3312,5.33679
4054,27.749,5.4005
5929,23.3665,5.35946
5143,24.9237,5.09591
5720,25.9701,5.12859
3122,27.3009,4.92479
6628,22.6754,5.18065
5653,21.1171,5.18044
5882,26.998,5.28067
5348,25.0101,5.44752
5595,22.1754,4.97614
2501,27.823,4.09528
3367,23.4492,5.03232
4656,26.7858,5.20696
5232,22.9481,5.45566
6044,22.3582,4.97266
4786,23.7091,3.54665
3297,23.4468,5.04358
2861,27.1237,5.20959
2499,25.3148,5.24786
4624,28.1214,3.6237
3212,21.3512,5.51056
3298,21.6925,3.87654
6132,24.8033,5.12419
1288,25.0586,3.49371
1939,28.8421,3.23482
34,26.2958,3.16446
537,27.6188,2.83162
1732,32.4164,2.95983
1706,28.4979,3.37686
1410,25.9649,3.52804
3330,28.4321,4.8896
4330,25.6671,4.9137
1259,24.645,2.99664
1985,22.6611,3.15078
4356,21.5791,4.55135
1658,23.7897,4.53759
4187,27.7439,4.66923
4500,27.5333,3.34977
4246,28.4789,4.79547
1444,26.5581,4.67071
1178,23.1141,4.7483
932,28.03,3.27109
